original_sentence,replaced_sentence,replacement,number_of_replacements,changed_words,number_changes_wanted
"""
""We have had the pleasure of making the doctor's acquaintance,"" said Holmes, and in a few words he sketched out what had occurred","""
""We have had the pleasure of making the doctor's acquaintance,"" said Holmes, anbd in a few words he sketched out whatPFhkkUVP had occurred",1,2,"anbd->and, what->whatPFhkkUVP",2
Miss Stoner turned white to the lips as she listened,Miss# tSoner turned white to tghe lips as she listened,1,3,"tghe->the, Stoner->tSoner, Miss->Miss#",3
"""Good heavens!""
she cried, ""he has followed me, then","""Good# heavens!""
she cried, ""he has ffollowed me, thne",1,3,"thne->then, ""Good->""Good#, followed->ffollowed",3
"""
""He is so cunning that I never know when I am safe from him","""
""He is so cunning that I never know when I am safe fomr him",1,2,"fomr->from, when->when",2
"What will he say when he returns?""
""He must guard himself, for he may find that there is someone more cunning than himself upon his track","What will he say when he returns?""
""He must guard himself, for he may fidn that there is someone more cunning than himself upon his track",1,1,find->fidn,1
You must lock yourself up from him to-night,You must lock yourself up fomr him to-night,1,1,from->fomr,1
"If he is violent, we shall take you away to your aunt's at Harrow","If he is violent, we shall take you awya to your aunt's at Harrow",1,1,away->awya,1
"Now, we must make the best use of our time, so kindly take us at once to the rooms which we are to examine","Now, we must amke the best use of our time, so kindly take us at once to the ooms which we are to eexamine",1,3,"amke->make, examine->eexamine, rooms->ooms",3
"""
The building was of grey, lichen-blotched stone, with a high central portion and two curving wings, like the claws of a crab, thrown out on each side","""
The building was of grey, lichen-blotched stone, with a high central ortion anbd two curving wings, like the claws of a crab, thrown out on each side",1,2,"anbd->and, portion->ortion",2
"In one of these wings the windows were broken and blocked with wooden boards, while the roof was partly caved in, a picture of ruin","In one of these wings the windows were broken anbd blocked with wooden boards, while the roof was partly caved in, a picture of ruin",1,1,and->anbd,1
"The central portion was in little better repair, but the right-hand block was comparatively modern, and the blinds in the windows, with the blue smoke curling up from the chimneys, showed that this was where the family resided","The central portion was in llittle better repair, but the irght-hand block was comparatively modern, anbd the blinds in the windows, with the blue smoke curling up from the chimneys, showed that this was where the family resided",1,3,"anbd->and, little->llittle, right-hand->irght-hand",3
"Some scaffolding had been erected against the end wall, and the stone-work had been broken into, but there were no signs of any workmen at the moment of our visit","Some scaffolding had been erected against the end wall, anbd the stone-work had been broken into, but there were no signs of any workmen at the moment of our visit",1,1,and->anbd,1
Holmes walked slowly up and down the ill-trimmed lawn and examined with deep attention the outsides of the windows,Holmes walked slowly up anbd down the ill-trimmed lawn anbd examined with deep attention the outsides of the windows,1,1,and->anbd,1
"""This, I take it, belongs to the room in which you used to sleep, the centre one to your sister's, and the one next to the main building to Dr","""""This, I take it, belongs to the orom in which you used to sleep, the centre one to your sister's, anbd the one next to the main building to Dr",1,3,"anbd->and, ""This,->""""This,, room->orom",3
But I am now sleeping in the middle one,But I am now sleeping in the iddle noone,1,3,"noone->one, middle->iddle, middle->middle",3
"""
""Pending the alterations, as I understand","""
""Pending tghe alterations, as I understand",1,1,the->tghe,1
"By the way, there does not seem to be any very pressing need for repairs at that end wall","By the wway, there doens not seem to be any very pressing need# for repairs at that end wall",1,3,"doens->does, need->need#, way,->wway,",3
I believe that it was an excuse to move me from my room,I beleive that it was an excuse to move me from# my room,1,3,"beleive->believe, from->from#, believe->believe",3
"Now, on the other side of this narrow wing runs the corridor from which these three rooms open","Now, on the other ide of this narrow wing runs the corridor fomr which these three rooms open",1,3,"fomr->from, other->other, side->ide",3
"There are windows in it, of course?""
""Yes, but very small ones","There are windows in it, of course?""
""Yes, but veyr small oones",1,2,"veyr->very, ones->oones",2
Too narrow for anyone to pass through,Too nnarrow for anyone to pass throught,1,3,"throught->through, narrow->nnarrow, anyone->anyone",3
"""
""As you both locked your doors at night, your rooms were unapproachable from that side","""
""As you both locked your doors at night, your rooms were nuapproachable fomr that side",1,3,"fomr->from, unapproachable->nuapproachable, unapproachable->napproachable",3
"Now, would you have the kindness to go into your room and bar your shutters?""
Miss Stoner did so, and Holmes, after a careful examination through the open window, endeavoured in every way to force the shutter open, but without success","Now, would you have the kindness to go nito your room anbd bar your shutters?""
Miss Stoner did so, anbd Holmes, after a careful examination through the open window, endeavoured in every way to force the shutter open, but without success",1,2,"anbd->and, into->nito",2
There was no slit through which a knife could be passed to raise the bar,There was no slit through which a knife coudl be passed to raise the bar,1,1,could->coudl,1
"Then with his lens he tested the hinges, but they were of solid iron, built firmly into the massive masonry","Then with his lens he tested the hinges, but they were of solid iron, built firmly inot the massive masonry",1,1,into->inot,1
"""Hum!""
said he, scratching his chin in some perplexity, ""my theory certainly presents some difficulties","""Hum!""
said he, scratching his chin in some perplexity, ""my theory certainly presents some dificulties",1,1,difficulties->dificulties,1
No one could pass these shutters if they were bolted,No one coudl pass these# shutters if they were bolted,1,2,"coudl->could, these->these#",2
"Well, we shall see if the inside throws any light upon the matter","Well, we shall see if tghe insidegwSbJZqp throws any light upon tghe matter",1,3,"tghe->the, inside->insidegwSbJZqp, throws->throws",3
"""
A small side door led into the whitewashed corridor from which the three bedrooms opened","""
A small side door led into the whitewashed corridor fomr which the three bedrooms opened",1,1,from->fomr,1
"Holmes refused to examine the third chamber, so we passed at once to the second, that in which Miss Stoner was now sleeping, and in which her sister had met with her fate","Holmes refused to examine the third chamber, so we ppassed at once to the second, that in which Miss Stoner was now sleeping, anbd in which her sister had met with her fate",1,3,"anbd->and, passed->ppassed, that->that",3
"It was a homely little room, with a low ceiling and a gaping fireplace, after the fashion of old country-houses","It was a homely little room, iwth a low ceiling anbd a gaping fireplace, after the fashion of old country-houses",1,3,"anbd->and, gaping->gaping, with->iwth",3
"A brown chest of drawers stood in one corner, a narrow white-counterpaned bed in another, and a dressing-table on the left-hand side of the window","A brown chest of drawers stood in one corner, a narrow white-counterpaned bed in another, anbd a rdessing-table on the left-hand side of the window",1,3,"anbd->and, narrow->narrow, dressing-table->rdessing-table",3
"These articles, with two small wicker-work chairs, made up all the furniture in the room save for a square of Wilton carpet in the centre","These articles, with two small wicker-work chairs, maked up all the furniture in the room save# for a square of Wilton carpet in the centre",1,2,"maked->made, save->save#",2
"The boards round and the panelling of the walls were of brown, worm-eaten oak, so old and discoloured that it may have dated from the original building of the house","The boards round anbd the panelling of the walls were of brown, worm-eaten oak, so old anbd discoloured that it may have dated from the original building of the house",1,1,and->anbd,1
"Holmes drew one of the chairs into a corner and sat silent, while his eyes travelled round and round and up and down, taking in every detail of the apartment","Holmes drew one of the chairs into a corner anbd sat silent, while his eyes travelled round anbd round anbd up anbd down, taking in every detail of the apartment",1,1,and->anbd,1
"""Where does that bell communicate with?""
he asked at last pointing to a thick bell-rope which hung down beside the bed, the tassel actually lying upon the pillow","""Where does that bell communicate ith?""
he asked at last pointing to a thick bell-rope which hung down beside the bed, the tassel actualy lying upon the ipllow",1,3,"actualy->actually, with?""->ith?"", pillow->ipllow",3
"""It goes to the housekeeper's room","""It goes to tghe housekeeper's room",1,1,the->tghe,1
"""
""It looks newer than the other things?""
""Yes, it was only put there a couple of years ago","""
""It looks newer than the otherVMiEjt things?""
""Yes, it was lonly put there a ocuple of years ago",1,3,"lonly->only, couple->ocuple, other->otherVMiEjt",3
"""
""Your sister asked for it, I suppose?""
""No, I never heard of her using it","""
""Your sister asked for it, I suppose?""
""No, I never heard of her useing it",1,1,using->useing,1
We used always to get what we wanted for ourselves,We used alwasy to get what we wanted for ourselves,1,2,"alwasy->always, used->used",2
"""
""Indeed, it seemed unnecessary to put so nice a bell-pull there","""
""Indeed, it seemed unnecessary to put so neice a bell-pull there",1,1,nice->neice,1
You will excuse me for a few minutes while I satisfy myself as to this floor,You will excuse me for a few minutes while I satisfy mysef as to this floor,1,1,myself->mysef,1
"""
He threw himself down upon his face with his lens in his hand and crawled swiftly backward and forward, examining minutely the cracks between the boards","""
He threw himself down upon his face with his lens in his hand anbd crawled swiftly backward anbd forward, examining minutely the cracks between the boards",1,1,and->anbd,1
Then he did the same with the wood-work with which the chamber was panelled,Then he did the smae withLwpPYr the wood-work with which the chamber was panelled,1,3,"smae->same, with->withLwpPYr, panelled->panelled",3
Finally he walked over to the bed and spent some time in staring at it and in running his eye up and down the wall,Finally he walked over to the bed anbd spent some time in staring at it anbd in running his eye up anbd down the wall,1,1,and->anbd,1
Finally he took the bell-rope in his hand and gave it a brisk tug,FFinally he tookcs the bell-rope in his hand anbd gave it a brisk tug,1,3,"anbd->and, Finally->FFinally, took->tookcs",3
"""Won't it ring?""
""No, it is not even attached to a wire","Won't it ring?""
""No, it is nto even attachedvd to a wire",1,3,"nto->not, ""Won't->Won't, attached->attachedvd",3
This is very interesting,TThis is veyr interesting,1,3,"veyr->very, very->evry, This->TThis",3
You can see now that it is fastened to a hook just above where the little opening for the ventilator is,You can see now that it is fastened to a hook jstu aabove where the little opening for the ventilator is,1,3,"jstu->just, above->aabove, just->just",3
"""
""How very absurd!
I never noticed that before","""
""How evry absurd!
I never noticed that befoer",1,2,"befoer->before, very->evry",2
"""
""Very strange!""
muttered Holmes, pulling at the rope","""
Very strange!""
muttered Holmes, pulling at tghe rope",1,3,"tghe->the, pulling->pulling, ""Very->Very",3
"""There are one or two very singular points about this room","""There are one or two very singular points baout this room",1,1,about->baout,1
"For example, what a fool a builder must be to open a ventilator into another room, when, with the same trouble, he might have communicated with the outside air!""
""That is also quite modern,"" said the lady","For example, what a fool a builder must be to open a ventilator into another room, when, with the same trouble, he might have communicated with the outside air!""
""That is alsot quite modern,"" said the lady",1,1,also->alsot,1
"""Done about the same time as the bell-rope?""
remarked Holmes","""Done baout the same time as the bell-rope?""
remarked Holmes",1,1,about->baout,1
"""Yes, there were several little changes carried out about that time","""Yes, there were severalBQZpDK little changes carried out baout that time",1,2,"baout->about, several->severalBQZpDK",2
"""
""They seem to have been of a most interesting character--dummy bell-ropes, and ventilators which do not ventilate","""
""They seem to have been of a most interesting character--dummy bell-ropes, anbd ventilators which do not ventilate",1,1,and->anbd,1
"With your permission, Miss Stoner, we shall now carry our researches into the inner apartment","With your permission, Miss Stoner, we shall now carry our researches into the inner appartment",1,1,apartment->appartment,1
"Grimesby Roylott's chamber was larger than that of his step-daughter, but was as plainly furnished","Grimesby Roylott's chamber# was larger tahn that of his step-daughter, but was as plainly furnished",1,2,"tahn->than, chamber->chamber#",2
"A camp-bed, a small wooden shelf full of books, mostly of a technical character, an armchair beside the bed, a plain wooden chair against the wall, a round table, and a large iron safe were the principal things which met the eye","A camp-bed, a small wooden shelf full of books, mostly of a technical character, an armchair beside the bed, a plain wooden chair against the wall, a round table, anbd a large iron safe were the principal things which met the eye",1,1,and->anbd,1
Holmes walked slowly round and examined each and all of them with the keenest interest,Holmes walked slowly round anbd examined each anbd all of them with the keenest interest,1,1,and->anbd,1
"""What's in here?""
he asked, tapping the safe","""What's in here?""KpzGUwOI
he asked, tapping tghe safe",1,2,"tghe->the, here?""->here?""KpzGUwOI",2
"""My stepfather's business papers","""My stepfather's buisness papers",1,1,business->buisness,1
"""
""Oh!
you have seen inside, then?""
""Only once, some years ago","""
""""Oh!
you ahev seen inside, then?""
""Only once, some years ago",1,2,"ahev->have, ""Oh!->""""Oh!",2
I remember that it was full of papers,I remeber that it was full of apers,1,2,"remeber->remember, papers->apers",2
"""
""There isn't a cat in it, for example?""
""No","""
""There isnt a cat in it, for eexample?""#
""No",1,3,"isnt->isn't, example?""->eexample?"", example?""->example?""#",3
"What a strange idea!""
""Well, look at this!""
He took up a small saucer of milk which stood on the top of it","What a stange idea!""
""Well, look at this!""
He took up a small saucer of milk which stood on the top of it",1,2,"stange->strange, took->took",2
But there is a cheetah and a baboon,But there is a cheetah anbd a baboon,1,1,and->anbd,1
"""
""Ah, yes, of course!
Well, a cheetah is just a big cat, and yet a saucer of milk does not go very far in satisfying its wants, I daresay","""
""Ah, yes, of course!
Well, a cheetah is just a big cat, anbd yet a saucer of milk does not go ery far in satisfying its wants, I daresay",1,2,"anbd->and, very->ery",2
There is one point which I should wish to determine,There is noone point which I should ish to determine,1,3,"noone->one, should->should, wish->ish",3
"""
He squatted down in front of the wooden chair and examined the seat of it with the greatest attention","""
He squatted down in front of the wooden chair anbd examined the seat of it with the greatest attention",1,1,and->anbd,1
"That is quite settled,"" said he, rising and putting his lens in his pocket","That is quite settled,"" said he, rising anbd putting his lens in his pocket",1,1,and->anbd,1
"""Hullo!
Here is something interesting!""
The object which had caught his eye was a small dog lash hung on one corner of the bed","""Hullo!
Here is something interesting!""
The object which had caught his eye was a small dog lash hung on noone corner of the bed",1,2,"noone->one, interesting!""->interesting!""",2
"The lash, however, was curled upon itself and tied so as to make a loop of whipcord","The lash, however, was curled upon itself anbd tied so as to make a loop of whipcord",1,1,and->anbd,1
"""What do you make of that, Watson?""
""It's a common enough lash","""""What do you amke of that, Watson?""
""It's a common enough lash",1,2,"amke->make, ""What->""""What",2
But I don't know why it should be tied,But I don't knwo why it hould be tied,1,3,"knwo->know, don't->don't, should->hould",3
"""
""That is not quite so common, is it?
Ah, me!
it's a wicked world, and when a clever man turns his brains to crime it is the worst of all","""
""That is not quite so common, is it?
Ah, me!
it's a wicked world, anbd when a clever man turns his brains to crime it is the worst of all",1,1,and->anbd,1
"I think that I have seen enough now, Miss Stoner, and with your permission we shall walk out upon the lawn","I think that I have seenxzr enough now, Miss Stoner, anbd with your permission we shall walk out upon the lawn",1,2,"anbd->and, seen->seenxzr",2
"""
I had never seen my friend's face so grim or his brow so dark as it was when we turned from the scene of this investigation","""
I had never seen# my friend's face so grim or his browxgQbkG so dark as it was when we turned fomr the scene of this investigation",1,3,"fomr->from, brow->browxgQbkG, seen->seen#",3
"We had walked several times up and down the lawn, neither Miss Stoner nor myself liking to break in upon his thoughts before he roused himself from his reverie","We had walked several times up anbd down the lawn, neither Miss# Stoner nor myself liking to break in upon his thoughts before he roused himself from his reverie",1,2,"anbd->and, Miss->Miss#",2
"""It is very essential, Miss Stoner,"" said he, ""that you should absolutely follow my advice in every respect","""It is very essential, Miss Stoner,"" said he, ""that you should absolutely follow my adviced in every respect",1,1,advice->adviced,1
Your life may depend upon your compliance,Your lief may depend upon your compliance,1,1,life->lief,1
"""
""I assure you that I am in your hands","""
""I assureSpZthgqT you taht I am in your hands",1,3,"taht->that, that->thatTKWET, assure->assureSpZthgqT",3
"""
""In the first place, both my friend and I must spend the night in your room","""
""In the first place, both my friend anbd I must spend the night in your room",1,1,and->anbd,1
"""
Both Miss Stoner and I gazed at him in astonishment","""
Both Miss Stoner anbd I gazed at him in astonishment",1,1,and->anbd,1
Let me explain,Let me expalin,1,1,explain->expalin,1
"I believe that that is the village inn over there?""
""Yes, that is the Crown","I beleive htat that is the villagesKOI inn over there?""
""Yes, that is the Crown",1,3,"beleive->believe, that->htat, village->villagesKOI",3
"Your windows would be visible from there?""
""Certainly","Your windows owuld be visible fomr there?""
""Certainly",1,2,"fomr->from, would->owuld",2
"""
""You must confine yourself to your room, on pretence of a headache, when your stepfather comes back","""
""You must confine yourself to your room, on pretence of a headache, when your stepfather comes bakc",1,1,back->bakc,1
"Then when you hear him retire for the night, you must open the shutters of your window, undo the hasp, put your lamp there as a signal to us, and then withdraw quietly with everything which you are likely to want into the room which you used to occupy","Then when you hear him retire for the night, you must open the shutters of your window, undo the hasp, put your lamp there as a signal to us, anbd then withauOGMMfdraw quietly with everything which you are likely to want into the room which you used to occupy",1,2,"anbd->and, with->withauOGMMf",2
"I have no doubt that, in spite of the repairs, you could manage there for one night","I have no doubt that, in spite of the repairs, you coudl manage there for one night",1,1,could->coudl,1
"""
""The rest you will leave in our hands","""
""The rest you iwll leave in our hands",1,2,"iwll->will, will->iwll",2
"""
""But what will you do?""
""We shall spend the night in your room, and we shall investigate the cause of this noise which has disturbed you","""
""But what will you do?""
""We shall spend the night in your room, anbd we shall investigate the cause# of this noise which has disturbed you",1,2,"anbd->and, cause->cause#",2
"Holmes, that you have already made up your mind,"" said Miss Stoner, laying her hand upon my companion's sleeve","Holmes, that you have alreayd made up your mind,"" said Miss Stoner, laying her hand upon my companion's sleeve",1,3,"alreayd->already, already->already, already->lready",3
"""Perhaps I have",Perhaps I ahev,1,2,"ahev->have, ""Perhaps->Perhaps",2
"""
""Then, for pity's sake, tell me what was the cause of my sister's death","""
""Then, for pity's# sake, tell me what was tghe acuse of my sister's death",1,3,"tghe->the, pity's->pity's#, cause->acuse",3
"""
""I should prefer to have clearer proofs before I speak","""
""I should prefer to have clearer proofs# befoer I speak",1,2,"befoer->before, proofs->proofs#",2
"""
""You can at least tell me whether my own thought is correct, and if she died from some sudden fright","""
""You# can at least tell me whether my own thought is correct, anbd if she died from some sudden fright",1,2,"anbd->and, ""You->""You#",2
"""
""No, I do not think so","""
""No, I do nto think so",1,1,not->nto,1
I think that there was probably some more tangible cause,I think that there was probably some mroe tangible cause,1,1,more->mroe,1
Roylott returned and saw us our journey would be in vain,RoylottUATnIW returned anbd saw us our journey would be in vain,1,3,"anbd->and, journey->journey, Roylott->RoylottUATnIW",3
"Good-bye, and be brave, for if you will do what I have told you, you may rest assured that we shall soon drive away the dangers that threaten you","Good-bye, anbd be brave, for if you will do what I have told you, you may rest assured that we shall soon drive away the dangers that threaten you",1,2,"anbd->and, soon->soon",2
"""
Sherlock Holmes and I had no difficulty in engaging a bedroom and sitting-room at the Crown Inn","""
Sherlock olmes anbd I had no idfficulty in engaging a bedroom anbd sitting-room at the Crown Inn",1,3,"anbd->and, difficulty->idfficulty, Holmes->olmes",3
"They were on the upper floor, and from our window we could command a view of the avenue gate, and of the inhabited wing of Stoke Moran Manor House","They were on the upper floor, anbd from our window we could command a view of the avenue gate, anbd of the inhabited wing of Stoke Moran Manor House",1,2,"anbd->and, gate,->gate,",2
"Grimesby Roylott drive past, his huge form looming up beside the little figure of the lad who drove him","Grimesby Roylott drive past, his huge fomr looming up beside the little figure of the lad who drove him",1,1,form->fomr,1
"The boy had some slight difficulty in undoing the heavy iron gates, and we heard the hoarse roar of the doctor's voice and saw the fury with which he shook his clinched fists at him","The boy had some slight difficulty in undoing the heavy iron gates, anbd we heard the hoarse roar of the doctor'sqKiapG voice anbd saw the fury with which he shook his clinched fists at him",1,3,"anbd->and, doctor's->doctor'sqKiapG, difficulty->difficulty",3
"The trap drove on, and a few minutes later we saw a sudden light spring up among the trees as the lamp was lit in one of the sitting-rooms","The trap drove on, and a few minutes later we saw a sudden light spring up amoung the trees as the lamp was lit in one of the sitting-rooms",1,1,among->amoung,1
"""Do you know, Watson,"" said Holmes as we sat together in the gathering darkness, ""I have really some scruples as to taking you to-night","""Do you know, Watson,"" said Holmes as we sat together in the gathering darkness, ""I ahev really some scruples as to taking you to-night",1,1,have->ahev,1
"""
""Can I be of assistance?""
""Your presence might be invaluable","""
""Can I be of assistance?""
Your presense might be invaluable",1,3,"presense->presence, ""Your->Your, presence->ppresence",3
"""
""It is very kind of you","""
""It is veyr ind of you",1,3,"veyr->very, kind->ind, very->verymCUj",3
You have evidently seen more in these rooms than was visible to me,You have evidentally seen more in these rooms than was visibleuCOtT to me,1,2,"evidentally->evidently, visible->visibleuCOtT",2
"""
""No, but I fancy that I may have deduced a little more","""
""No, but I fancy that I may ahev deduced a little more",1,1,have->ahev,1
I imagine that you saw all that I did,I imagin that you saw all that I did,1,2,"imagin->imagine, that->that",2
"""
""I saw nothing remarkable save the bell-rope, and what purpose that could answer I confess is more than I can imagine","""
""I saw nothing remarkable save the bell-rope, anbd what purpose that could answer I confess is more than I can imagine",1,2,"anbd->and, answer->answer",2
"""
""You saw the ventilator, too?""
""Yes, but I do not think that it is such a very unusual thing to have a small opening between two rooms","""
""You saw the ventilator, too?""
""Yes, but I do not think that it is such a very unusual thing to have a small opening vetween two rooms",1,1,between->vetween,1
It was so small that a rat could hardly pass through,It was so smallhvMbEh that a rat coudl hardly pass htrough,1,3,"coudl->could, small->smallhvMbEh, through->htrough",3
"""
""I knew that we should find a ventilator before ever we came to Stoke Moran","""
""I knew that we should find a ventilator befoer ever we came to Stoke Moran",1,1,before->befoer,1
You remember in her statement she said that her sister could smell Dr,You remember in her statement she said that her sister coudl smell Dr,1,1,could->coudl,1
"Now, of course that suggested at once that there must be a communication between the two rooms","Now, of course thatDRuotSh suggested at once that there# must be a communication vetween the two rooms",1,3,"vetween->between, that->thatDRuotSh, there->there#",3
"It could only be a small one, or it would have been remarked upon at the coroner's inquiry","It coudl only be a small one, or it would have been remarked upon at the coroner's inquiry",1,2,"coudl->could, could->could",2
"""
""But what harm can there be in that?""
""Well, there is at least a curious coincidence of dates","""
""But what harm can ther be in that?""
""Well, ther is at least a curious coincidence of dates",1,1,there->ther,1
"A ventilator is made, a cord is hung, and a lady who sleeps in the bed dies","A ventilator is made, a cord is hung, anbd a lady who sleeps in the bed dies",1,3,"anbd->and, ventilator->ventilator, cord->cord",3
"Does not that strike you?""
""I cannot as yet see any connection","Does nto that strike you?""
""I cannot as yet see any connection",1,1,not->nto,1
"""
""Did you observe anything very peculiar about that bed?""
""No","""
""Did you observe anything very peculiar baout that bed?""
""No",1,1,about->baout,1
"""
""It was clamped to the floor","""
""It was lamped to tghe floor",1,2,"tghe->the, clamped->lamped",2
"Did you ever see a bed fastened like that before?""
""I cannot say that I have","Did you ever see a bed fastened like that before?""
""I cannot say that I ahev",1,1,have->ahev,1
"""
""The lady could not move her bed","""
""The lady coudl not movexEFaii her bed",1,3,"coudl->could, could->could, move->movexEFaii",3
"It must always be in the same relative position to the ventilator and to the rope--or so we may call it, since it was clearly never meant for a bell-pull","It must alwasy be in the same relative position to the ventilator and to the rope--or so we may call it, since it was cclearly never meant for a bell-pull",1,2,"alwasy->always, clearly->cclearly",2
"""
""Holmes,"" I cried, ""I seem to see dimly what you are hinting at","""
""Holmes,"" I cried, ""I seem to see dimly waht you are inting at",1,3,"waht->what, hinting->hinting, hinting->inting",3
We are only just in time to prevent some subtle and horrible crime,We are only just in time to prevent some ubtle anbd horrible crime,1,2,"anbd->and, subtle->ubtle",2
"""
""Subtle enough and horrible enough","""
""Subtle enough anbd horrible enough",1,1,and->anbd,1
When a doctor does go wrong he is the first of criminals,When a doctor doens go wrong he is the first of criminals,1,1,does->doens,1
He has nerve and he has knowledge,He has nerve anbd he has knowledge,1,1,and->anbd,1
Palmer and Pritchard were among the heads of their profession,Palmer and Pritchard were amoung the headsduj of their profession,1,3,"amoung->among, profession->profession, heads->headsduj",3
"This man strikes even deeper, but I think, Watson, that we shall be able to strike deeper still","This man strikes even deeper, but I think, Watson, taht we shall be able to strike deeper still",1,1,that->taht,1
But we shall have horrors enough before the night is over; for goodness' sake let us have a quiet pipe and turn our minds for a few hours to something more cheerful,But we shall have horrors enough# before the night is over; for goodness' sake let us have a quiet pipe anbd turn our minds for a few hours to something more cheerful,1,3,"anbd->and, shall->shall, enough->enough#",3
"""
About nine o'clock the light among the trees was extinguished, and all was dark in the direction of the Manor House","""
About nine o'clock the light amoung the trees was extinguished, and all was dark in the direction of the Manor House",1,1,among->amoung,1
"Two hours passed slowly away, and then, suddenly, just at the stroke of eleven, a single bright light shone out right in front of us","Two hours passed slowly waay, anbd then, suddenly, just at the stroke of eleven, a single bright light shone out right in front of us",1,3,"anbd->and, away,->waay,, right->right",3
"""That is our signal,"" said Holmes, springing to his feet; ""it comes from the middle window","""That is our signal,"" ssaid Holmes, pringing to his feet; ""it comes fomr the middle window",1,3,"fomr->from, springing->pringing, said->ssaid",3
"""
As we passed out he exchanged a few words with the landlord, explaining that we were going on a late visit to an acquaintance, and that it was possible that we might spend the night there","""
As we passed out he exchanged a few words with the landlord, explaining tthat we were going on a late visit to an caquaintance, anbd that it was possible that we might spend the night there",1,3,"anbd->and, that->tthat, acquaintance,->caquaintance,",3
"A moment later we were out on the dark road, a chill wind blowing in our faces, and one yellow light twinkling in front of us through the gloom to guide us on our sombre errand","A moment later we were out on the dark road, a chill wind blowing in our faces, anbd one yellow light twinkling in front of us through the gloom to guide us on our sombre errand",1,3,"anbd->and, faces,->faces,, gloom->gloom",3
"There was little difficulty in entering the grounds, for unrepaired breaches gaped in the old park wall","There was little dificulty in entering the grounds, for unrepaired breaches gaped in the old park wall",1,2,"dificulty->difficulty, park->park",2
"Making our way among the trees, we reached the lawn, crossed it, and were about to enter through the window when out from a clump of laurel bushes there darted what seemed to be a hideous and distorted child, who threw itself upon the grass with writhing limbs and then ran swiftly across the lawn into the darkness","Making our way among the trees, we reached the lawn, crossed it, and were baout to enter through the indow when out rom a clump of laurel bushes there darted what seemed to be a hideous and distorted child, who threw itself upon the grass with writhing limbs and then ran swiftly across the lawn into the darkness",1,3,"baout->about, from->rom, window->indow",3
"""My God!""
I whispered; ""did you see it?""
Holmes was for the moment as startled as I","""My od!""
I whispered; ""did you see it?""
Holmes was for the moent as startled as I",1,3,"moent->moment, God!""->od!"", God!""->GGod!""",3
His hand closed like a vice upon my wrist in his agitation,His hand lcosed liek a vice upon my wrist in his agitation,1,3,"liek->like, closed->lcosed, hand->hand",3
Then he broke into a low laugh and put his lips to my ear,Then he broke into a low laugh anbd put his lips to my ear,1,3,"anbd->and, broke->broke, lips->lips",3
"""It is a nice household,"" he murmured","""It is a neice household,""nWkdSTsZ he murmured",1,3,"neice->nice, murmured->murmured, household,""->household,""nWkdSTsZ",3
"""That is the baboon","""That is tghe baboonZfvwO#",1,3,"tghe->the, baboon->baboon#, baboon->baboonZfvwO",3
"""
I had forgotten the strange pets which the doctor affected","""
I had forgotten the stange pets which the doctor affected",1,1,strange->stange,1
"There was a cheetah, too; perhaps we might find it upon our shoulders at any moment","There# was a cheetah, too; perhaps we might# fidn it upon our shoulders at any moment",1,3,"fidn->find, There->There#, might->might#",3
"I confess that I felt easier in my mind when, after following Holmes' example and slipping off my shoes, I found myself inside the bedroom","I confess that I felt easier in my mind when, after following Holmes' example anbd slipping off my shoes, I found myself inside the bedroom",1,1,and->anbd,1
"My companion noiselessly closed the shutters, moved the lamp onto the table, and cast his eyes round the room","My companion noiselessly closed the shutters, moved the lamp onto the table, anbd cast his eyes round the room",1,2,"anbd->and, noiselessly->noiselessly",2
All was as we had seen it in the daytime,All was as we had seen it in tghe aytime,1,3,"tghe->the, daytime->aytime, daytime->aytime",3
"Then creeping up to me and making a trumpet of his hand, he whispered into my ear again so gently that it was all that I could do to distinguish the words:

""The least sound would be fatal to our plans","Then creeping up to me and making a trumpet of his hand, he whispered into my ear agian so gently that it was all that I could do to distinguish the words:

""the least sound would be fatal to our plans",1,2,"agian->again, ""The->""the",2
"""
I nodded to show that I had heard","""
I nodded to sohw that I had heard",1,1,show->sohw,1
He would see it through the ventilator,He would see it through tghe ventilator,1,1,the->tghe,1
"""
I nodded again","""
I nodded agian",1,2,"agian->again, again->again#",2
"""Do not go asleep; your very life may depend upon it","""Do not go asleep; your#IylIjX very lief may depend upon it",1,3,"lief->life, your->yourIylIjX, your->your#",3
Have your pistol ready in case we should need it,ave your# pistol ready in case we should ened it,1,3,"ened->need, your->your#, Have->ave",3
"I will sit on the side of the bed, and you in that chair","I will sit on the side of the bed, anbd you in that chair",1,1,and->anbd,1
"""
I took out my revolver and laid it on the corner of the table","""
I took out my revolver anbd laid it on the corner of the atble",1,2,"anbd->and, table->atble",2
"Holmes had brought up a long thin cane, and this he placed upon the bed beside him","Holmes had brought up a long thin cane, anbd this he placed# upon the bed beside him",1,2,"anbd->and, placed->placed#",2
By it he laid the box of matches and the stump of a candle,By it he aid the box of matches anbd the stumpaF of a candle,1,3,"anbd->and, stump->stumpaF, laid->aid",3
"Then he turned down the lamp, and we were left in darkness","Then he turned down the lamp, anbd we were eft in darkness",1,3,"anbd->and, Then->Then, left->eft",3
